measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,185,Rwanda,3,Both,1,Under 5,322,Lower respiratory infections,1,Number,1990,8360.302361981554,10324.246668625996,6690.599201028592
1,Deaths,185,Rwanda,3,Both,1,Under 5,322,Lower respiratory infections,3,Rate,1990,604.959779882338,747.0727399173373,484.1384013024929
1,Deaths,185,Rwanda,3,Both,2,Early Neonatal,322,Lower respiratory infections,1,Number,1990,643.0304450832473,883.0768719733197,461.46828708611736
1,Deaths,185,Rwanda,3,Both,2,Early Neonatal,322,Lower respiratory infections,3,Rate,1990,10263.133797245097,14094.412106943904,7365.297879382971
1,Deaths,185,Rwanda,3,Both,3,Late Neonatal,322,Lower respiratory infections,1,Number,1990,741.0789955864891,983.0048152096252,514.5174525173796
1,Deaths,185,Rwanda,3,Both,3,Late Neonatal,322,Lower respiratory infections,3,Rate,1990,4036.726763651917,5354.519383206957,2802.62479885724
1,Deaths,185,Rwanda,3,Both,4,Post Neonatal,322,Lower respiratory infections,1,Number,1990,3312.0686286443192,4410.956845422068,2455.09450179666
1,Deaths,185,Rwanda,3,Both,4,Post Neonatal,322,Lower respiratory infections,3,Rate,1990,1182.11605496375,1574.3221199072693,876.2519598559713
1,Deaths,185,Rwanda,3,Both,5,1 to 4,322,Lower respiratory infections,1,Number,1990,3664.1242926675054,4871.459647352761,2662.972514841433
1,Deaths,185,Rwanda,3,Both,5,1 to 4,322,Lower respiratory infections,3,Rate,1990,340.1669074032536,452.2524975738056,247.2228157451523
1,Deaths,185,Rwanda,3,Both,22,All Ages,322,Lower respiratory infections,1,Number,1990,12424.604825660397,14517.253256943082,10444.549940487088
1,Deaths,185,Rwanda,3,Both,22,All Ages,322,Lower respiratory infections,3,Rate,1990,170.97596109794625,199.7730602249722,143.72827058629287
1,Deaths,185,Rwanda,3,Both,1,Under 5,332,Meningitis,1,Number,1990,1938.2702090792784,2576.315339371239,1374.9976247078412
1,Deaths,185,Rwanda,3,Both,1,Under 5,332,Meningitis,3,Rate,1990,140.25515684329537,186.42473598814985,99.49619336313532
1,Deaths,185,Rwanda,3,Both,2,Early Neonatal,332,Meningitis,1,Number,1990,102.27610770035511,146.83239338802957,71.33038475597097
1,Deaths,185,Rwanda,3,Both,2,Early Neonatal,332,Meningitis,3,Rate,1990,1632.3851936035505,2343.529004938452,1138.473750593141
1,Deaths,185,Rwanda,3,Both,3,Late Neonatal,332,Meningitis,1,Number,1990,168.5179438656702,244.40324211620097,113.96031474668591
1,Deaths,185,Rwanda,3,Both,3,Late Neonatal,332,Meningitis,3,Rate,1990,917.9330384607435,1331.2873721282328,620.7525179796498
1,Deaths,185,Rwanda,3,Both,4,Post Neonatal,332,Meningitis,1,Number,1990,652.2897297544894,930.508533555988,438.0014165007961
